1d120	异常天气
84	强风席卷该地区，形成小型尘卷风。有1/6的几率这些尘卷风实际上是小型风元素。如果使用表11，掷骰结果需减去10。强风持续3d20分钟。有1/6的几率尘卷风的持续时间会翻倍。 Strong winds whip through the region, creating miniature dust devils. There is a 1 in 6 chance that dust devils are actually small air elementals. If using Table 11, subtract 10 from the roll. The strong winds last for 3d20 minutes. There is a 1 in 6 chance the dust devils last for double the indicated duration.
85	局部天气系统生成龙卷风。风暴持续4d20分钟，有1/6的几率龙卷风持续时间翻倍。风暴生成1d12个龙卷风，有1/6的几率生成数量翻倍。若使用表11，从掷骰结果中减去7。龙卷风效果如下：➢ 1-3为普通龙卷风。➢ 4实际上是狂暴的气元素，它们会攻击遇到的所有生物。➢ 5隐藏着通往另一个位面的传送门，有1-4/6的几率传送门通向气元素位面。被吸入龙卷风的人会立即被传送到那里，传送门在龙卷风结束时消失。➢ 6不会造成物理伤害，但会吸走该区域的所有颜色，有1/6的几率此效果永久持续，否则颜色会在1d12小时后恢复。 The localized weather system spawns tornadoes. The storm lasts for 4d20 minutes. There is a 1 in 6 chance the tornadoes last for double the indicated duration. The storm spawns 1d12 tornadoes, with a 1 in 6 chance that twice as many are created. If using Table 11, subtract 7 from the roll. The tornadoes ➢ 1-3 are just tornadoes. ➢ 4 are in fact rampaging air elementals, who will attack all living creatures they come across. ➢ 5 conceal a portal to another plane. There is a 1-4 in 6 chance the portal leads to the Elemental Plane of Air. Those sucked into the tornado are immediately transported there. The portal disappears when the tornadoes end. ➢ 6 cause no physical damage, but instead suck up all the color from the region. There is a 1 in 6 chance this effect is permanent, otherwise color returns in 1d12 hours.
86	云朵形成了可辨认的形状，持续时间为：➢ 1-2 几分钟。➢ 3-4 几个小时。➢ 5-6 一整天。这些形状：➢ 1 类似于特定的人物或生物。➢ 2 历史场景。➢ 3 未来可能发生的事件。➢ 4 已知语言中的文字或符文。➢ 5 未知语言中的文字或符文。➢ 6 玩家角色自己。 The clouds form recognizable shapes that last for ➢ 1-2 a few minutes. ➢ 3-4 a few hours. ➢ 5-6 all day. The shapes ➢ 1 resemble specific individuals or creatures. ➢ 2 scenes from history. ➢ 3 events that may occur in the future. ➢ 4 words or runes in a known language. ➢ 5 words or runes in an unknown language. ➢ 6 the PCs themselves.
87	云朵呈现出异常的颜色。这种颜色会持续：➢ 1-2 几分钟。➢ 3-4 几小时。➢ 5-6 一整天。 The clouds are an unusual color. They retain this color for: ➢ 1-2 a few minutes. ➢ 3-4 a few hours. ➢ 5-6 all day.
88	云端之上清晰可见一座城市。这座城市：➢ 1-2 有人居住。➢ 3-4 已被遗弃（注意，此结果意味着它已被建造者遗弃。云中之城可能仍有怪物栖息）。➢ 5-6 是幻象。这座城市：➢ 1-2 由云物质构成。➢ 3-4 由石头和泥土建造。➢ 5-6 由魔法本身编织而成。城市居民为：➢ 1 云巨人。➢ 2 有翼鸟人。➢ 3 一个誓不接触实地的种族。➢ 4-6 随机确定的生物类型，无论其是否具备飞行能力。有1/6的几率，这座城市仅持续1d6天后便会消失。 A city can plainly be seen atop a cloud. This city is: ➢ 1-2 inhabited. ➢ 3-4 abandoned (note that this result implies it has been abandoned by its builders. The cloud city may yet be inhabited by monsters). ➢ 5-6 an illusion. The city is:➢ 1-2 composed of cloud-stuff. ➢ 3-4 made of stone and earth. ➢ 5-6 spun from magic itself. The city will be inhabited by ➢ 1 cloud giants. ➢ 2 winged bird-men. ➢ 3 a race of men that has sworn never to touch solid ground. ➢ 4-6 a randomly determined type of creature, regardless of their ability to fly. There is a 1 in 6 chance the city will last for only 1d6 days before disappearing.
89	异常天象。若使用表11，则应用-3惩罚。接下来的1d6天内，将发生违背自然法则的奇异事件。这些事件有1/6的几率持续时间为原指示的两倍。具体表现为：➢ 1-3 一种异常现象。➢ 4-5 两种异常现象，每种持续时间相近。➢ 6 三种异常现象，每种持续时间相近。异常现象示例如下：1. 观察到鸟儿倒飞于天际。2. 捕食者与猎物的角色互换：羔羊猎杀狮子，蠕虫追逐飞鸟。3. 雨滴向上飘落。4. 降雨时，雨滴呈现奇异色彩：1. 蓝色，2. 绿色，3. 红色，4. 橙色，5. 黑色，6. 灰色。有1/6的几率雨水会改变地貌颜色。5. 水无法沸腾。6. 火焰燃烧但不散发热量。7. 动物开始以人类的声音说话。8. 当预言者宰杀动物以观其内脏时，发现1-2 它没有内脏；3-4 内脏中有一则用通用语写的信息，明确指出预言应放置何处；或5-6 内脏中满是蠕动的蛆虫。9. 家畜产下畸形怪物。10. 未受教育的农民突然理解复杂的哲学论辩，并放下手头工作去辩论这些新思想。异常现象有1-3/6的几率预示着某种可怕的灾难（1-4）或吉祥的恩赐（5-6）。否则，仅仅是些古怪的事情发生。无论如何，所有受影响区域需立即进行一次内部摩擦检定。 Unnatural events. Apply a –3 penalty if using Table 11. For the next 1d6 days, strange things occur that violate the laws of nature. There is a 1 in 6 chance these events last for twice the indicated duration. There will be: ➢ 1-3 One type of occurrence. ➢ 4-5 Two types of occurrence, each with a similar duration. ➢ 6 Three types of occurrence, each with a similar duration. Sample unnatural events are as follows: 1. Birds are observed flying backwards through the skies. 2. The roles of prey and predator are reversed: the lamb hunts the lion, the worm the bird. 3. Rain can be seen falling up. 4. When rain falls it is strangely colored. 1. blue, 2. green, 3. red, 4. orange, 5. black, 6. gray. There is a 1 in 6 chance the rain will actually change the color of the landscape. 5. Water does not boil. 6. Fires burn but do not give off heat. 7. Animals begin speaking with human voices. 8. When oracles sacrifice an animal to read its entrails, they find 1-2 it has no innards; 3-4 a message, in the Common tongue, telling them exactly where to put their prophesies; or 5-6 writhing masses of maggots. 9. Domesticated animals birth unnatural, deformed monstrosities. 10. Uneducated peasants all of a sudden begin to grasp complicated philosophical arguments and leave their tasks to debate these new ideas. There is a 1-3 in 6 chance the unnatural events portend some terrible disaster (1-4) or propitious boon (5-6). Otherwise, some weird stuff just happens. Regardless, all areas affected immediately make an Internal Friction roll.
90	天空中显现出一道彩虹，却未见雨滴。彩虹的类型为：➢ 1-3 单层。➢ 4-5 双层。➢ 6 三层。彩虹持续1d20分钟。有1/6的概率持续时间翻倍，另有1/6的概率其条纹排列顺序与常规不同。此外：➢ 1-3 它只是一道彩虹。➢ 4 每五分钟有1/6的概率会有一位小妖精接近队伍，提出以指引其金罐的位置为条件，与冒险者们达成某种妖精交易。➢ 5 彩虹是一座通往异世界的桥梁，踏上它的人将被传送到那个领域。有1-2/6的概率桥梁有守卫。➢ 6 彩虹是众神降下的预兆，指引冒险者走向他们的命运。这可能是（1-3）他们真正寻求之物，或（4-6）他们尚未知晓的人、物品或地点。 A rainbow is visible in the sky without rain. The rainbow is: ➢ 1-3 a single. ➢ 4-5 a double. ➢ 6 a triple. The rainbow lasts for 1d20 minutes. There is a 1 in 6 chance it lasts for twice the given duration, and another 1 in 6 chance its rainbow stripes are arranged in a different order than would normally be expected. In addition: ➢ 1-3 it’s just a rainbow. ➢ 4 there is a 1 in 6 chance every five minutes the rainbow is present that a leprechaun approaches the party, offering the adventurers directions to its pot of gold in exchange for some fey bargain. ➢ 5 the rainbow is a bridge to another world, and will transport any who step aboard to this other realm. There is a 1-2 in 6 chance the bridge is guarded. ➢ 6 the rainbow is an omen sent by the gods, to guide the adventurers to their destiny. This may be (1-3) something they actually seek or (4-6) a person, item, or place as yet unknown to them.
91	极光。夜空中出现奇异的光带，仿佛有生命般舞动。极光通常持续3d20分钟，但有1/6的几率持续时间翻倍。通常，极光只能在赤道以北或以南的极地地区看到，但在奇幻世界中未必如此。极光➢1是一个有意识的生物，可能是一个元素生物。➢2发出几乎听不见的音乐。➢3作为通往其他世界的门户。必须能够飞入闪烁的光芒中才能通过这种方式旅行。➢4使得在其光芒下施放的所有法术的变量效果都达到最大值。➢5-6仅仅是天空中美丽的光影。 Aurora. Strange bands of light appear in the night sky, dancing as if alive. The aurora typically lasts for 3d20 minutes, although there is a 1 in 6 chance it lasts for double the indicated duration. Typically, the aurora is only seen far north or south of the equator, although this need not be the case in a fantasy world. The aurora ➢ 1 is a sentient creature, possibly an elemental. ➢ 2 produces barely audible music. ➢ 3 acts as a gateway to other worlds. One must be able to fly into the shimmering lights in order to travel by these means. ➢ 4 causes all spells cast under its light to have all their variable effects occur at their maximum limits. ➢ 5-6 is just pretty lights in the sky.
92	尸火（“圣艾尔摩之火”）。这种奇特的静电现象通常无害，往往会在尖状物体上聚集，如桅杆、船首、塔尖等，但也有报道称人的手指和鼻子会被这种奇异闪烁的光芒勾勒出来。若使用表11，则从掷骰结果中减去10。这种现象持续1d20小时，且有1/6的几率持续时间为原定时间的两倍。这种奇异天气现象多伴随降水或雾气出现，因此裁判官可能希望等到下次下雨或下雪时再应用此效果。除了惊吓无知和迷信者外，尸火：➢ 1-4 仅是自然现象。➢ 5 实际上是一种有意识的生物，试图通过光的微妙闪烁进行交流。➢ 6 在火焰持续期间，增加遭遇不死生物的概率。在适用的遭遇表中添加1d4种不死生物类型。 Corpse-lights (“St. Elmo’s Fire”). Typically, this strange form of static lightning is harmless. It tendsto coalesce on pointed objects, such as masts, prows, spires of towers, etc., although there are reports of people’s fingers and noses being outlined in this strange, flickering light. If using Table 11, subtract 10 from the roll. It lasts for 1d20 hours, with a 1 in 6 chance of lasting double the given duration. This strange weather event most often occurs with precipitation – or foggy conditions – so the Referee might want to wait and apply it the next time there is rain/snow. In addition to spooking the ignorant and superstitious, the corpse-light: ➢ 1-4 is simply a natural phenomenon. ➢ 5 is actually a sentient being, attempting to communicate in a language based on the subtle flickering of light. ➢ 6 increases the chance of encounters with undead whilst the fire lasts. Add 1d4 types of undead to the applicable encounter tables.
93	浓雾笼罩大地。这场雾将持续1d20小时，且有1/6的几率持续时间为原指示的两倍。任何试图在雾中行进的人都有迷路的风险，具体规则由裁判根据荒野导航规则决定。在雾中迷路的几率翻倍。雾的效果如下：➢ 1-2：仅为普通雾气，视野减少四分之三。➢ 3：雾中含有非本地区域的怪物。➢ 4：雾气半固态，移动速度减半。➢ 5：雾气通向另一个世界或位面。任何在雾中迷路的人，每小时都有1/6的几率进入这个异世界。➢ 6：任何在雾中死亡的人类或半人类，除非在死后一小时内火化，否则会自动化为亡灵。若使用表11，则掷骰结果减去5。 A dense fog covers the land. The fog lasts for 1d20 hours and has a 1 in 6 chance of lasting twice as long as indicated. Any folk trying to navigate in the fog run the risk of becoming lost, based on whatever rules the Referee is using for navigating in the wilderness. Double the chances of getting lost while in the fog. The fog: ➢ 1-2 is just normal fog, reducing vision by three- quarters. ➢ 3 contains monsters not native to this region. ➢ 4 is semi-solid, reducing movement rates by half. ➢ 5 leads to another world or plane. Any persons becoming lost in the fog have a 1 in 6 chance of entering this other world for every hour spent wandering. ➢ 6 causes any humans or demi-humans that die within the fog to automatically rise as undead unless cremated within an hour of death. If using Table 11, subtract 5 from the roll.
94	一片薄雾笼罩大地。雾气持续1d12小时，有1/6的几率持续时间翻倍。雾气效果如下：➢ 1-3 仅为普通雾气。➢ 4 雾中含有吸取生命的雾怪。➢ 5 雾气中弥漫着硫磺的气味。➢ 6 任何在雾中施法的角色必须通过一次法术豁免检定，才能成功施法。若使用表11，则从掷骰结果中减去5。 A thin mist covers the land. The mist lasts for 1d12 hours, with a 1 in 6 chance of lasting twice as long as indicated. The mist ➢ 1-3 is just normal mist. ➢ 4 contains life-draining mist monsters. ➢ 5 smells of sulfur. ➢ 6 forces those casting any sort of spell while physically within the mist to succeed on a Save v. Spells in order to actually do so. If using Table 11, subtract 5 from the roll.
95	球状闪电。真正的闪电球四处漂浮，造成的伤害与一道真正的闪电相当。一场典型的风暴会在指定区域内生成1d10个球状闪电。这些闪电球移动缓慢，每轮仅移动20英尺，但与普通闪电同样危险，尤其是因为它们可以与目标保持接触多个回合。球状闪电会被以下事物吸引：➢ 1 大量金属。➢ 2 高大的建筑物。➢ 3 强烈的魔法气息。➢ 4 混沌生物。➢ 5 秩序生物。➢ 6 无差别目标。如果使用表11，则从掷骰结果中减去10。 Ball lightning. Literal balls of lightning float about, doing as much damage as an actual bolt of lightning. A typical storm will generate 1d10 balls of lightning within the given area. These balls are slow, moving at only 20’ per round, but just as dangerous as normal lightning, especially since they can remain in contact with a target for multiple rounds. Ball lightning is attracted to: ➢ 1 large amounts of metal. ➢ 2 tall buildings. ➢ 3 strong magical dweomers. ➢ 4 creatures of Chaos. ➢ 5 creatures of Law. ➢ 6 indiscriminate targets. If using Table 11 subtract 10 from the roll.
96	延长天气系统。当天掷骰决定的天气将持续额外1d4天。 Extended weather system. The weather indicated by the day’s roll lasts an addition 1d4 days.
97	变幻莫测的天气。一天过半时，天气有可能突然转变。重新在表7上掷骰，以此类推。 Changeable weather. Halfway through the day, the weather has a chance of abruptly changing. Roll again on Table 7, etc.
98	魔法干旱（1-3）或魔法泛滥（4-6）。在1d24小时内，所有奥术（1-3）、神术（4-6）或两者兼有（7-8）的法术在施放时需通过一次对抗法术的豁免检定才能成功施放（干旱），或者施法者如同其等级提升了1d4级（每个法术随机决定）来施放（泛滥）。 Magical drought (1-3) or surfeit (4-6). For 1d24 hours, all arcane (1-3), divine (4-6) or both (7-8) spells require a successful Save v. Spells to cast successfully (drought), or are cast as if the caster were 1d4 (determine randomly for each spell) levels higher (surfeit).
99-100	这两个结果留空，供裁判自行填写自定义事件，或复制表格中其他事件以增加其发生概率。例如，在一个以地震活动闻名的地区，裁判可能希望将99和100都填写为额外地震事件（#80）。如有需要，裁判可在表10上掷骰以确定任何异常天气的确切原因。同样，裁判也可在表11上掷骰，以确定每种天气效果——无论是正常还是异常——所覆盖的区域。这在较高等级时可能特别有用，因为飞行、传送等方式使旅行速度加快。需要注意的是，表11中的某些结果仅可能通过掷骰获得，且需指定为异常事件。 These two results are left blank for the Referee to fill in with their own custom events, or to duplicate events from elsewhere on the table so as to increase their chances of occurrence. For instance, in an area known for seismic activity, they may wish to fill both 99 and 100 with additional earthquake (#80) entries. If desired, the Referee may roll on Table 10 to determine the exact cause of any unusual weather. If desired, the Referee can roll on Table 11 to determine the area each weather effect – whether normal or unusual – covers. This may be useful at higher levels when travel becomes faster due to flight, teleportation, etc. Note that some of the results on Table 11 are only possible by rolling for an Unusual Event that specifies it.
101	干燥、荒芜的日子里，握手时总伴随着令人惊愕的静电冲击，仿佛永无止境。 Dry, arid days make for handshakes that seem to never cease to startle with shocks
102	远方沙漠的细尘使天空呈现深红色，几小时内便形成了沙丘 Fine dust from distant Deserts makes for claret skies, sand drifts form in a few hours
103	远处的雷声不再轰鸣，而是化作乐曲：号角与颤音交织 Replacing the boom and crash, distant Thunder gets musical: Tuckets and Trills
104	艺术家与幻术师的恩赐：当雨水穿过彩虹时，会随机染上色彩 Largess to Artists/Illusionists: When rain falls through a Rainbow, it randomly stains
105	奇异的碟状云据说与龙的交配季节有关 Strange, saucer-shaped Clouds are said to be associated with Dragon Mating Season
106	天界狂欢似乎失控了：天空中飘洒着甜腻的葡萄酒雨 Celestial Revels must be getting out of hand: Sickly sweet Wine drizzles from the sky
107	阴影开始闪烁并倍增，仿佛有物体在太阳前移动 Shadows start to stutter and multiply as something moves in front of the Sun
108	尽管极其美丽，这些暮光射线却令人不安地持久 Though incredibly beautfiful, these Crepescular Rays are unnervingly long lasting
109	一股真正的不祥之风刮起：混沌之语的片段在每个耳边低语着异端邪说 A truly ill-wind blows: snatches of the Chaotic Tongue whisper heresies into every ear
110	当冰雹大如半身人的头颅时，明智之举是寻找避难所 When the hailstones rival a Halfling's Head it would be prudent to seek shelter
111	初看如雪，但舌尖触及的却是咸味：盐水之雨 Seems like Snow at first, but catching a flake on your tongue is Salty: Brine Showers
112	每代一次，欢乐雪松的风媒传粉似乎会让所有人连续几天咯咯笑个不停 Once/generation, Anemophily of Mirthful Cedar seems to put all a-giggle for a few days
113	令不死者闻风丧胆：这场倾盆大雨每一滴都神圣无比 Greatly feared by the Deathless: this torrential Rain is Holy to a drop
114	轻烟随风飘过，随后是飘散的灰烬与煤烟，或许很快就会有火星紧随其后 Smoke on the breeze is followed by wafting ash and soot, maybe cinders soon
115	总有一道幻日出现在你眼角余光中，挥之不去 There always seems to be a Sun Dog, always out of the corner of your eye
116	"“今日”太阳仅短暂露面，自西向东疾速逆行，令编年史家们倍感困扰 Only minutes of Sun ""Today"" as it races backwards West-East frustrating chroniclers"
117	蝌蚪与小鱼从天而降，落在转瞬即逝的水洼中 Tadpoles and Minnows fall from the sky, landing in tragically temporary puddles
118	欢欣鼓舞的农民们庆祝一场雨水，它让庄稼瞬间结出前所未有的硕大果实。 Jubilent Farmers celebrate a Rain that instantly make crops fruit in unprecidented size
119	炽热划破天际，在烈日下清晰可见：一个预兆性的凶兆 Searing its way across the sky, visible in full sun: a Portentous Omen
120	某些风暴跨越位面，炽热的雨无疑会引来幸灾乐祸的末日预言者 Some Storms transcend Planes, Fiery Rains undoubtedly lead to smug Doomsayers
